attachment,material,angle_deg,sigma_cm_inv,R_percent
附件1,SiC,10,496.5802,32.03255257
附件1,SiC,10,497.0623,32.12946511
附件1,SiC,10,497.5444,32.2108918
附件1,SiC,10,498.0266,32.28131273
附件1,SiC,10,498.5087,32.3865042
附件1,SiC,10,498.9908,32.45297481
附件1,SiC,10,499.4729,32.54831502
附件1,SiC,10,499.955,32.60725918
附件1,SiC,10,500.4371,32.67948166
附件1,SiC,10,500.9193,32.73021411
附件1,SiC,10,501.4014,32.79867056
附件1,SiC,10,501.8835,32.87439682
附件1,SiC,10,502.3656,32.89238662
附件1,SiC,10,502.8477,32.9605464
附件1,SiC,10,503.3298,32.99036407
附件1,SiC,10,503.812,33.04193031
附件1,SiC,10,504.2941,33.0733167
附件1,SiC,10,504.7762,33.10513063
附件1,SiC,10,505.2583,33.14230739
附件1,SiC,10,505.7404,33.17147677
附件1,SiC,10,506.2225,33.20086677
附件1,SiC,10,506.7047,33.23247206
附件1,SiC,10,507.1868,33.24979235
附件1,SiC,10,507.6689,33.28462332
附件1,SiC,10,508.151,33.29860356
附件1,SiC,10,508.6331,33.29452086
附件1,SiC,10,509.1152,33.31690875
附件1,SiC,10,509.5974,33.32586222
附件1,SiC,10,510.0795,33.33504097
附件1,SiC,10,510.5616,33.35390692
附件1,SiC,10,511.0437,33.35292199
附件1,SiC,10,511.5258,33.38783815
附件1,SiC,10,512.0079,33.4460746
附件1,SiC,10,512.4901,33.49341938
附件1,SiC,10,512.9722,33.53321109
附件1,SiC,10,513.4543,33.5538523
附件1,SiC,10,513.9364,33.60615374
附件1,SiC,10,514.4185,33.64900027
附件1,SiC,10,514.9006,33.70548372
附件1,SiC,10,515.3828,33.74257392
附件1,SiC,10,515.8649,33.7785001
附件1,SiC,10,516.347,33.82185954
附件1,SiC,10,516.8291,33.8579996
附件1,SiC,10,517.3112,33.86072534
附件1,SiC,10,517.7933,33.890724
附件1,SiC,10,518.2755,33.85719236
附件1,SiC,10,518.7576,33.86747497
附件1,SiC,10,519.2397,33.86575801
附件1,SiC,10,519.7218,33.86842264
附件1,SiC,10,520.2039,33.83599923
附件1,SiC,10,520.686,33.82757726
附件1,SiC,10,521.1682,33.82475426
附件1,SiC,10,521.6503,33.80378997
附件1,SiC,10,522.1324,33.79934931
附件1,SiC,10,522.6145,33.80624854
附件1,SiC,10,523.0966,33.78940278
附件1,SiC,10,523.5787,33.77343838
附件1,SiC,10,524.0609,33.77201421
附件1,SiC,10,524.543,33.77236094
附件1,SiC,10,525.0251,33.74808975
附件1,SiC,10,525.5072,33.73783395
附件1,SiC,10,525.9893,33.74193075
附件1,SiC,10,526.4714,33.71185533
附件1,SiC,10,526.9536,33.67419707
附件1,SiC,10,527.4357,33.65817217
附件1,SiC,10,527.9178,33.64997109
附件1,SiC,10,528.3999,33.59034223
附件1,SiC,10,528.882,33.55918422
附件1,SiC,10,529.3641,33.51445534
附件1,SiC,10,529.8463,33.49690316
附件1,SiC,10,530.3284,33.43622661
附件1,SiC,10,530.8105,33.38288065
附件1,SiC,10,531.2926,33.32110134
附件1,SiC,10,531.7747,33.25854746
附件1,SiC,10,532.2568,33.18032786
附件1,SiC,10,532.739,33.13448148
附件1,SiC,10,533.2211,33.0622757
附件1,SiC,10,533.7032,32.99913213
附件1,SiC,10,534.1853,32.94062479
附件1,SiC,10,534.6674,32.88522345
附件1,SiC,10,535.1495,32.82319426
附件1,SiC,10,535.6317,32.79206767
附件1,SiC,10,536.1138,32.73595458
附件1,SiC,10,536.5959,32.66391609
附件1,SiC,10,537.078,32.64241837
附件1,SiC,10,537.5601,32.56559214
附件1,SiC,10,538.0422,32.5033289
附件1,SiC,10,538.5244,32.4167484
附件1,SiC,10,539.0065,32.34076782
附件1,SiC,10,539.4886,32.26787492
附件1,SiC,10,539.9707,32.19936576
附件1,SiC,10,540.4528,32.1289215
附件1,SiC,10,540.9349,32.08184244
附件1,SiC,10,541.4171,32.00064512
附件1,SiC,10,541.8992,31.96378818
附件1,SiC,10,542.3813,31.90798481
附件1,SiC,10,542.8634,31.87016503
附件1,SiC,10,543.3455,31.84144461
附件1,SiC,10,543.8276,31.77496413
附件1,SiC,10,544.3098,31.72426084
附件1,SiC,10,544.7919,31.67643561
附件1,SiC,10,545.274,31.62286057
附件1,SiC,10,545.7561,31.55070156
附件1,SiC,10,546.2382,31.48029228
附件1,SiC,10,546.7203,31.39986892
附件1,SiC,10,547.2025,31.31556996
附件1,SiC,10,547.6846,31.23914784
附件1,SiC,10,548.1667,31.14903536
附件1,SiC,10,548.6488,31.08249625
附件1,SiC,10,549.1309,30.99517668
附件1,SiC,10,549.613,30.93416704
附件1,SiC,10,550.0952,30.85319313
附件1,SiC,10,550.5773,30.76943798
附件1,SiC,10,551.0594,30.71502347
附件1,SiC,10,551.5415,30.62743543
附件1,SiC,10,552.0236,30.56557011
附件1,SiC,10,552.5057,30.49138317
附件1,SiC,10,552.9879,30.42465596
附件1,SiC,10,553.47,30.35960887
附件1,SiC,10,553.9521,30.30309414
附件1,SiC,10,554.4342,30.24637769
附件1,SiC,10,554.9163,30.17083267
附件1,SiC,10,555.3984,30.11359388
附件1,SiC,10,555.8806,30.03952512
附件1,SiC,10,556.3627,29.97395039
附件1,SiC,10,556.8448,29.90945777
附件1,SiC,10,557.3269,29.85751847
附件1,SiC,10,557.809,29.77817965
附件1,SiC,10,558.2911,29.68166133
附件1,SiC,10,558.7733,29.62351609
附件1,SiC,10,559.2554,29.55081999
附件1,SiC,10,559.7375,29.46250477
附件1,SiC,10,560.2196,29.38279315
附件1,SiC,10,560.7017,29.32126875
附件1,SiC,10,561.1838,29.20527698
附件1,SiC,10,561.666,29.13467747
附件1,SiC,10,562.1481,29.06482078
附件1,SiC,10,562.6302,28.99440996
附件1,SiC,10,563.1123,28.90629663
附件1,SiC,10,563.5944,28.86720376
附件1,SiC,10,564.0765,28.81873739
附件1,SiC,10,564.5587,28.76501517
附件1,SiC,10,565.0408,28.74003475
附件1,SiC,10,565.5229,28.67776006
附件1,SiC,10,566.005,28.66735412
附件1,SiC,10,566.4871,28.61295024
附件1,SiC,10,566.9692,28.56372953
附件1,SiC,10,567.4514,28.53101026
附件1,SiC,10,567.9335,28.46876889
附件1,SiC,10,568.4156,28.43833426
附件1,SiC,10,568.8977,28.37170649
附件1,SiC,10,569.3798,28.33423823
附件1,SiC,10,569.8619,28.29370001
附件1,SiC,10,570.3441,28.251548
附件1,SiC,10,570.8262,28.21491953
附件1,SiC,10,571.3083,28.1629655
附件1,SiC,10,571.7904,28.13310285
附件1,SiC,10,572.2725,28.10786971
附件1,SiC,10,572.7546,28.07983831
附件1,SiC,10,573.2368,28.05918713
附件1,SiC,10,573.7189,28.04991033
附件1,SiC,10,574.201,28.03793108
附件1,SiC,10,574.6831,28.03513946
附件1,SiC,10,575.1652,28.04975582
附件1,SiC,10,575.6473,28.05107818
附件1,SiC,10,576.1295,28.09399836
附件1,SiC,10,576.6116,28.10864862
附件1,SiC,10,577.0937,28.13864586
附件1,SiC,10,577.5758,28.16448598
附件1,SiC,10,578.0579,28.19674829
附件1,SiC,10,578.54,28.22514
附件1,SiC,10,579.0222,28.228576
附件1,SiC,10,579.5043,28.24436982
附件1,SiC,10,579.9864,28.24000927
附件1,SiC,10,580.4685,28.22454185
附件1,SiC,10,580.9506,28.21725096
附件1,SiC,10,581.4327,28.22818317
附件1,SiC,10,581.9149,28.22885084
附件1,SiC,10,582.397,28.24540447
附件1,SiC,10,582.8791,28.23030678
附件1,SiC,10,583.3612,28.25691547
附件1,SiC,10,583.8433,28.2813444
附件1,SiC,10,584.3254,28.31474481
附件1,SiC,10,584.8076,28.35793297
附件1,SiC,10,585.2897,28.38832269
附件1,SiC,10,585.7718,28.43149178
附件1,SiC,10,586.2539,28.47931604
附件1,SiC,10,586.736,28.54161622
附件1,SiC,10,587.2181,28.54598828
附件1,SiC,10,587.7003,28.64032149
附件1,SiC,10,588.1824,28.67646679
附件1,SiC,10,588.6645,28.74558278
附件1,SiC,10,589.1466,28.79720781
附件1,SiC,10,589.6287,28.84534911
附件1,SiC,10,590.1108,28.88159117
附件1,SiC,10,590.593,28.95689451
附件1,SiC,10,591.0751,29.03464869
附件1,SiC,10,591.5572,29.10352784
附件1,SiC,10,592.0393,29.15961628
附件1,SiC,10,592.5214,29.21759343
附件1,SiC,10,593.0035,29.30493997
附件1,SiC,10,593.4857,29.38510282
附件1,SiC,10,593.9678,29.4897235
附件1,SiC,10,594.4499,29.57003634
附件1,SiC,10,594.932,29.65663445
附件1,SiC,10,595.4141,29.72628102
附件1,SiC,10,595.8962,29.80797106
附件1,SiC,10,596.3784,29.94068828
附件1,SiC,10,596.8605,30.01816141
附件1,SiC,10,597.3426,30.09439815
附件1,SiC,10,597.8247,30.21664171
附件1,SiC,10,598.3068,30.30685684
附件1,SiC,10,598.7889,30.39162575
附件1,SiC,10,599.2711,30.5321619
附件1,SiC,10,599.7532,30.5920849
附件1,SiC,10,600.2353,30.72587713
附件1,SiC,10,600.7174,30.81924117
附件1,SiC,10,601.1995,30.90702515
附件1,SiC,10,601.6816,30.99922417
附件1,SiC,10,602.1638,31.10461458
附件1,SiC,10,602.6459,31.18492393
附件1,SiC,10,603.128,31.27429785
附件1,SiC,10,603.6101,31.35373327
附件1,SiC,10,604.0922,31.44241844
附件1,SiC,10,604.5743,31.55230524
附件1,SiC,10,605.0565,31.62567137
附件1,SiC,10,605.5386,31.73730594
附件1,SiC,10,606.0207,31.86116339
附件1,SiC,10,606.5028,31.97854944
附件1,SiC,10,606.9849,32.10523936
附件1,SiC,10,607.467,32.22054375
附件1,SiC,10,607.9492,32.36227264
附件1,SiC,10,608.4313,32.47801748
附件1,SiC,10,608.9134,32.60246313
附件1,SiC,10,609.3955,32.70890042
附件1,SiC,10,609.8776,32.81654205
附件1,SiC,10,610.3597,32.91040449
附件1,SiC,10,610.8419,32.98518039
附件1,SiC,10,611.324,33.09187435
附件1,SiC,10,611.8061,33.12929577
附件1,SiC,10,612.2882,33.1853477
附件1,SiC,10,612.7703,33.26071795
附件1,SiC,10,613.2524,33.33487719
附件1,SiC,10,613.7346,33.38777143
附件1,SiC,10,614.2167,33.48396706
附件1,SiC,10,614.6988,33.51555399
附件1,SiC,10,615.1809,33.61203841
附件1,SiC,10,615.663,33.67781504
附件1,SiC,10,616.1451,33.76165422
附件1,SiC,10,616.6273,33.87918265
附件1,SiC,10,617.1094,33.95566294
附件1,SiC,10,617.5915,34.05858214
附件1,SiC,10,618.0736,34.19172801
附件1,SiC,10,618.5557,34.28792936
附件1,SiC,10,619.0378,34.393085
附件1,SiC,10,619.52,34.49538793
附件1,SiC,10,620.0021,34.57633661
附件1,SiC,10,620.4842,34.6984275
附件1,SiC,10,620.9663,34.74852274
附件1,SiC,10,621.4484,34.83485254
附件1,SiC,10,621.9305,34.9238356
附件1,SiC,10,622.4127,34.94388012
附件1,SiC,10,622.8948,35.02533283
附件1,SiC,10,623.3769,35.07287803
附件1,SiC,10,623.859,35.11227155
附件1,SiC,10,624.3411,35.15785876
附件1,SiC,10,624.8232,35.19475634
附件1,SiC,10,625.3054,35.21857637
附件1,SiC,10,625.7875,35.26524853
附件1,SiC,10,626.2696,35.30532597
附件1,SiC,10,626.7517,35.350337
附件1,SiC,10,627.2338,35.39272032
附件1,SiC,10,627.7159,35.4215124
附件1,SiC,10,628.1981,35.45598947
附件1,SiC,10,628.6802,35.51406867
附件1,SiC,10,629.1623,35.53945284
附件1,SiC,10,629.6444,35.56087116
附件1,SiC,10,630.1265,35.60394389
附件1,SiC,10,630.6086,35.59869344
附件1,SiC,10,631.0908,35.64252032
附件1,SiC,10,631.5729,35.63821749
附件1,SiC,10,632.055,35.67241523
附件1,SiC,10,632.5371,35.6936012
附件1,SiC,10,633.0192,35.73811981
附件1,SiC,10,633.5013,35.78105088
附件1,SiC,10,633.9835,35.80020208
附件1,SiC,10,634.4656,35.83626272
附件1,SiC,10,634.9477,35.84579375
附件1,SiC,10,635.4298,35.85735611
附件1,SiC,10,635.9119,35.86943919
附件1,SiC,10,636.394,35.88099185
附件1,SiC,10,636.8762,35.86694799
附件1,SiC,10,637.3583,35.85251167
附件1,SiC,10,637.8404,35.82560834
附件1,SiC,10,638.3225,35.81465558
附件1,SiC,10,638.8046,35.76843907
附件1,SiC,10,639.2867,35.71289175
附件1,SiC,10,639.7689,35.703138
附件1,SiC,10,640.251,35.65875888
附件1,SiC,10,640.7331,35.64951489
附件1,SiC,10,641.2152,35.60355493
附件1,SiC,10,641.6973,35.5945207
附件1,SiC,10,642.1794,35.56795522
附件1,SiC,10,642.6616,35.56231509
附件1,SiC,10,643.1437,35.54172214
附件1,SiC,10,643.6258,35.53247965
附件1,SiC,10,644.1079,35.50711976
附件1,SiC,10,644.59,35.48678772
附件1,SiC,10,645.0721,35.46370599
附件1,SiC,10,645.5543,35.43260774
附件1,SiC,10,646.0364,35.41460086
附件1,SiC,10,646.5185,35.3841495
附件1,SiC,10,647.0006,35.34866432
附件1,SiC,10,647.4827,35.30009109
附件1,SiC,10,647.9648,35.21815232
附件1,SiC,10,648.447,35.22917254
附件1,SiC,10,648.9291,35.16043434
附件1,SiC,10,649.4112,35.11797218
附件1,SiC,10,649.8933,35.05521118
附件1,SiC,10,650.3754,34.9967715
附件1,SiC,10,650.8575,34.94225977
附件1,SiC,10,651.3397,34.86102201
附件1,SiC,10,651.8218,34.81522168
附件1,SiC,10,652.3039,34.75528854
附件1,SiC,10,652.786,34.71612764
附件1,SiC,10,653.2681,34.66681865
附件1,SiC,10,653.7502,34.60394316
附件1,SiC,10,654.2324,34.54580396
附件1,SiC,10,654.7145,34.50802806
附件1,SiC,10,655.1966,34.46608693
附件1,SiC,10,655.6787,34.4188976
附件1,SiC,10,656.1608,34.36425243
附件1,SiC,10,656.6429,34.34737711
附件1,SiC,10,657.125,34.2862423
附件1,SiC,10,657.6072,34.23628293
附件1,SiC,10,658.0892,34.20891489
附件1,SiC,10,658.5714,34.16987407
附件1,SiC,10,659.0535,34.14820769
附件1,SiC,10,659.5356,34.1294586
附件1,SiC,10,660.0177,34.10250732
附件1,SiC,10,660.4999,34.09834816
附件1,SiC,10,660.9819,34.07880281
附件1,SiC,10,661.4641,34.09227712
附件1,SiC,10,661.9462,34.08342902
附件1,SiC,10,662.4283,34.08083391
附件1,SiC,10,662.9104,34.08532008
附件1,SiC,10,663.3926,34.08914178
附件1,SiC,10,663.8746,34.11155207
附件1,SiC,10,664.3568,34.099114
附件1,SiC,10,664.8389,34.12151806
附件1,SiC,10,665.321,34.13986838
附件1,SiC,10,665.8031,34.17153971
附件1,SiC,10,666.2853,34.20074671
附件1,SiC,10,666.7673,34.27291899
附件1,SiC,10,667.2495,34.34700473
附件1,SiC,10,667.7316,34.40199348
附件1,SiC,10,668.2137,34.49765905
附件1,SiC,10,668.6958,34.55277135
附件1,SiC,10,669.178,34.63585873
附件1,SiC,10,669.66,34.68778873
附件1,SiC,10,670.1422,34.72299514
附件1,SiC,10,670.6243,34.78764723
附件1,SiC,10,671.1064,34.82748531
附件1,SiC,10,671.5885,34.84045645
附件1,SiC,10,672.0707,34.87511265
附件1,SiC,10,672.5527,34.95398571
附件1,SiC,10,673.0349,35.013719
附件1,SiC,10,673.517,35.0986615
附件1,SiC,10,673.9991,35.17778003
附件1,SiC,10,674.4812,35.26213186
附件1,SiC,10,674.9634,35.37989953
附件1,SiC,10,675.4454,35.46995365
附件1,SiC,10,675.9276,35.54947184
附件1,SiC,10,676.4097,35.6681243
附件1,SiC,10,676.8918,35.78592916
附件1,SiC,10,677.3739,35.89152686
附件1,SiC,10,677.8561,35.99754557
附件1,SiC,10,678.3381,36.124395
附件1,SiC,10,678.8203,36.22800327
附件1,SiC,10,679.3024,36.34075332
附件1,SiC,10,679.7845,36.46054793
附件1,SiC,10,680.2666,36.5872532
附件1,SiC,10,680.7488,36.706354
附件1,SiC,10,681.2308,36.82767678
附件1,SiC,10,681.713,36.96416445
附件1,SiC,10,682.1951,37.08588842
附件1,SiC,10,682.6772,37.20760386
附件1,SiC,10,683.1593,37.3474797
附件1,SiC,10,683.6415,37.46285887
附件1,SiC,10,684.1235,37.61136295
附件1,SiC,10,684.6057,37.6938096
附件1,SiC,10,685.0878,37.82392722
附件1,SiC,10,685.5699,37.90889921
附件1,SiC,10,686.052,38.0172054
附件1,SiC,10,686.5342,38.12069969
附件1,SiC,10,687.0162,38.20500897
附件1,SiC,10,687.4984,38.30358582
附件1,SiC,10,687.9805,38.37391363
附件1,SiC,10,688.4626,38.48593278
附件1,SiC,10,688.9447,38.5819385
附件1,SiC,10,689.4269,38.66528713
附件1,SiC,10,689.9089,38.77718068
附件1,SiC,10,690.3911,38.88318049
附件1,SiC,10,690.8732,38.98482001
附件1,SiC,10,691.3553,39.08408603
附件1,SiC,10,691.8374,39.18845152
附件1,SiC,10,692.3196,39.29181937
附件1,SiC,10,692.8016,39.37224582
附件1,SiC,10,693.2838,39.48697748
附件1,SiC,10,693.7659,39.58323603
附件1,SiC,10,694.248,39.6516029
附件1,SiC,10,694.7301,39.69577375
附件1,SiC,10,695.2123,39.75612838
附件1,SiC,10,695.6943,39.80933107
附件1,SiC,10,696.1765,39.8475734
附件1,SiC,10,696.6586,39.91169602
附件1,SiC,10,697.1407,39.9441588
附件1,SiC,10,697.6228,39.96080551
附件1,SiC,10,698.105,40.00045181
附件1,SiC,10,698.587,40.0250969
附件1,SiC,10,699.0692,40.03801359
附件1,SiC,10,699.5513,40.08230201
附件1,SiC,10,700.0334,40.09472971
附件1,SiC,10,700.5155,40.09705004
附件1,SiC,10,700.9977,40.13135692
附件1,SiC,10,701.4797,40.14753966
附件1,SiC,10,701.9619,40.1402976
附件1,SiC,10,702.444,40.15138842
附件1,SiC,10,702.9261,40.16405849
附件1,SiC,10,703.4082,40.14739524
附件1,SiC,10,703.8904,40.1706223
附件1,SiC,10,704.3724,40.15554874
附件1,SiC,10,704.8546,40.16057804
附件1,SiC,10,705.3367,40.12479014
附件1,SiC,10,705.8188,40.1109644
附件1,SiC,10,706.3009,40.08060294
附件1,SiC,10,706.7831,40.07437514
附件1,SiC,10,707.2651,40.09432837
附件1,SiC,10,707.7473,40.06955789
附件1,SiC,10,708.2294,40.06031896
附件1,SiC,10,708.7115,40.06255241
附件1,SiC,10,709.1936,40.0552964
附件1,SiC,10,709.6758,40.05267094
附件1,SiC,10,710.1578,40.05806172
附件1,SiC,10,710.64,40.08588172
附件1,SiC,10,711.1221,40.06924152
附件1,SiC,10,711.6042,40.09081894
附件1,SiC,10,712.0863,40.08613483
附件1,SiC,10,712.5685,40.1034208
附件1,SiC,10,713.0505,40.14236586
附件1,SiC,10,713.5327,40.15676151
附件1,SiC,10,714.0148,40.21273015
附件1,SiC,10,714.4969,40.25631787
附件1,SiC,10,714.979,40.31513239
附件1,SiC,10,715.4612,40.36366801
附件1,SiC,10,715.9432,40.42593748
附件1,SiC,10,716.4254,40.51462265
附件1,SiC,10,716.9075,40.58198515
附件1,SiC,10,717.3896,40.67351859
附件1,SiC,10,717.8717,40.79144219
附件1,SiC,10,718.3539,40.88334087
附件1,SiC,10,718.8359,41.00812936
附件1,SiC,10,719.3181,41.13063929
附件1,SiC,10,719.8002,41.26437202
附件1,SiC,10,720.2823,41.4077846
附件1,SiC,10,720.7644,41.55177856
附件1,SiC,10,721.2466,41.69513598
